PIPELINE EXECUTIVE DASHBOARD,,,,,,,,,,,,
,,,,,,,,,,,,
Period: May-26 to Dec-27  |  Currency: SAR  |  Last refresh: 05-May-2026,,,,,,,,,,,,
,,,,,,,,,,,,
PIPELINE — WEIGHTED,,,MATERIALIZING (75%+ PROB),,,PROJECTED GP — WEIGHTED,,,FREE CAPACITY BASELINE,,,
43M,,,20M,,,11M,,,"88,870",,,
,,,,,,,,,,,,
Unweighted: 64M SAR,,,Across 18 near-term deals,,,Unweighted GP: 16M  |  Margin: 25.0%,,,"Committed by Dec-26: 24,220 pallets (27.3% utilization)",,,
,,,,,,,,,,,,
??  FORECAST vs BUDGET — FY26,,,,,,,,,,,,
FY26 REVENUE GAP,,,FY26 GP GAP,,,UNSOLD CAPACITY VALUE,,,,,,
(12M),,,(6M),,,3M,,,,,,
,,,,,,,,,,,,
Forecast: 92.8M  |  Budget: 106.0M SAR,,,Forecast GP: 7.1M  |  Budget GP: 13.6M SAR,,,"If 64,650 pallets stay unsold @ 48 SAR/pallet/mo",,,,,,
,,,,,,,,,,,,
??  PIPELINE BY STAGE,,,,,,,,,,,,
Stage,Probability,# Deals,Pipeline (Unwtd),Pipeline (Wtd),% of Total Wtd,,,,,,,
Contract Negotiation,90%,3,"7,100,000","6,390,000",14.7%,,,,,,,
Shortlisted,75%,5,"5,578,200","4,183,650",9.7%,,,,,,,
Proposal Sent,60%,25,"36,427,328","21,856,397",50.4%,,,,,,,
Qualified,40%,1,"1,345,833","538,333",1.2%,,,,,,,
Prospecting,20%,1,"3,600,000","720,000",1.7%,,,,,,,
Closed Won,100%,10,"9,644,333","9,644,333",22.3%,,,,,,,
Closed Lost,0%,0,-,-,0.0%,,,,,,,
TOTAL,,45,"63,695,695","43,332,714",100.0%,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
??  TOP DEALS BY WEIGHTED VALUE  —  what's most likely to materialize,,,,,,,,,,,,
#,Customer,Stage,Probability,Warehouse,Go-Live,ACV (SAR),Weighted (SAR),,,,,
1,Kuehne & Nagel,Proposal Sent,60%,RUH Tayba,01-Nov-26,"6,102,000","4,271,400",,,,,
2,Tejoury,Proposal Sent,60%,Jeddah Modon 3A,01-Jul-26,"4,400,000","3,960,000",,,,,
3,NALCO Ecolab,Contract Negotiation,90%,Dammam 2nd Ind -Tad WH,01-Jun-26,"2,400,000","3,420,000",,,,,
4,PSA-BDP,Closed Won,100%,Subcontractor,14-Feb-26,"1,800,000","3,000,000",,,,,
5,Saudi National Bank,Proposal Sent,60%,Contract Logistics,15-May-26,"1,975,386","1,975,386",,,,,
6,Kuehne & Nagel,Proposal Sent,60%,RUH Tayba,01-Jul-26,"2,025,000","1,822,500",,,,,
7,Al Nahdi,Contract Negotiation,90%,Jeddah Modon 3A,01-May-26,"1,080,000","1,620,000",,,,,
8,Maaden,Closed Won,100%,Jubail 1,01-Feb-26,"960,000","1,600,000",,,,,
,,,,,,,,,,,,
??  WAREHOUSE CAPACITY  —  utilization at end of 2026,,,,,,,,,,,,
Warehouse,Baseline Free Space,Committed (Dec-26),Remaining (Dec-26),Utilization %,,,,,,,,
Dammam Port,"4,973",300,"4,673",6.0%,,,,,,,,
Dammam 2nd Ind,"10,047","7,090","2,957",70.6%,,,,,,,,
Jubail 1,"23,706","4,330","19,376",18.3%,,,,,,,,
Jubail 2,"19,247",-,"19,247",0.0%,,,,,,,,
Jubail Total,"42,953","4,330","38,623",10.1%,,,,,,,,
Jeddah Modon 3A,"19,713","4,500","15,213",22.8%,,,,,,,,
Jeddah Modon 3B,686,"5,500","(4,814)",801.7%,,,,,,,,
RUH Tayba,"2,998",-,"2,998",0.0%,,,,,,,,
Subcontractor,"7,500","2,500","5,000",33.3%,,,,,,,,
Contract Logistics,-,-,-,0.0%,,,,,,,,
NETWORK TOTAL,"88,870","24,220","64,650",27.3%,,,,,,,,
,,,,,,,,,,,,
??  TOP RISKS & ACTIONS NEEDED  —  what requires leadership decision,,,,,,,,,,,,
#,Risk / Action,,,,Impact,,Owner,Status,,,,
L1,Move 5 deals from Proposal Sent (60%) ? Contract Negotiation (90%),,,,+2M weighted SAR,,Sales (Hano),Open,,,,
L2,"Fix top 4 ACV flags: Tejoury, KN-Hample, Baxter, SNB",,,,+/? 3.7M SAR forecast accuracy,,Sales / Ops,Open,,,,
L3,Calibrate Cost % per deal (replace 75% global default),,,,+/? 2-3M SAR GP visibility,,Finance,Open,,,,
L4,Resolve RUH Tayba over-commitment by Dec-26,,,,? 1M SAR at stake,,COO,Decision needed,,,,
L5,"Formalize Subcontractor capacity (4,500 pallets without baseline)",,,,? 675K SAR at stake,,COO,Decision needed,,,,
R1,Tejoury: ACV corrected (4.4M); Source CY in CRM still stale (660K),,,,Cosmetic — flag only,,Hano,Resolved data,,,,
R2,11 total data discrepancy flags — see Pipeline Report Notes column,,,,Review weekly,,Sales,Review weekly,,,,
,,,,,,,,,,,,
"For full deal-level detail, see Pipeline Report tab. Data refreshes when Pipeline Data or Warehouse Snapshot tabs are updated.",,,,,,,,,,,,
