,,,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Total 
Revenue,P&L Actuals of Previous Month,," 8,115,849 "," 7,432,398 "," 7,272,375 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 84,189,259 "
,Organic Known Growth,,,,,,,,,,,,,,
,New Business Growth,," 106,715 "," 108,009 "," 554,216 "," 137,370 ",,,,,,,,," 906,310 "
,Total ,," 8,222,564 "," 7,540,407 "," 7,826,591 "," 6,956,107 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 6,818,737 "," 84,189,259 "
Pipeline ,Shortlisted,75%,,,,," 60,500 "," 223,300 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 294,133 "," 2,048,600 "
,Contract Negotiation,90%,,,,," 165,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 365,000 "," 2,720,000 "
,Closed Won,100%,,,,," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 482,217 "," 3,857,733 "
,Total ,," 8,222,564 "," 7,540,407 "," 7,826,591 "," 6,956,107 "," 7,526,454 "," 7,889,254 "," 7,960,087 "," 7,960,087 "," 7,960,087 "," 7,960,087 "," 7,960,087 "," 7,960,087 "," 92,815,593 "
,Budget Target,," 7,804,324 "," 7,991,024 "," 8,136,274 "," 8,557,831 "," 8,554,331 "," 8,719,831 "," 9,239,831 "," 9,133,831 "," 9,193,421 "," 9,466,824 "," 9,544,824 "," 9,634,824 "," 105,977,172 "
,Delta,,"  418,240 ","-450,618","-309,683","-1,601,724","-1,027,877","-830,577","-1,279,744","-1,173,744","-1,233,333","-1,506,737","-1,584,737","-1,674,737","-12,255,269"
,,,,,,,,,,,,,,,
GP,Actuals,," 734,179 "," 383,798 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "," 300,967 "
,Shortlisted,75%,,,,," 15,125 "," 55,825 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 73,533 "," 512,150 "
,Contract Negotiation,90%,,,,," 41,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 91,250 "," 680,000 "
,Closed Won,100%,,,,," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 120,554 "," 964,433 "
,Total,," 734,179 "," 383,798 "," 1,117,977 "," 300,967 "," 477,896 "," 568,596 "," 586,305 "," 586,305 "," 586,305 "," 586,305 "," 586,305 "," 586,305 "," 7,101,243 "
,Budget,," 30,698 "," 223,363 "," 255,135 "," 790,477 "," 784,100 "," 937,540 "," 1,636,160 "," 1,540,304 "," 1,581,516 "," 1,843,824 "," 1,921,241 "," 2,011,503 "," 13,555,862 "
,Delta,," 703,481 "," 160,434 ","  862,842 ","-489,510","-306,204","-368,944","-1,049,856","-954,000","-995,211","-1,257,519","-1,334,936","-1,425,198","-6,454,620"
,,,,,,,,,,,,,,,
,Pallet Positions - Total - Available Still,,,,,,"72,280 ","64,650 ","64,650 ","64,650 ","64,650 ","64,650 ","64,650 ","64,650 ","65,604 "
,Rate,, 48.00 ,,,, 48.00 , 48.00 , 48.00 , 48.00 , 48.00 , 48.00 , 48.00 , 48.00 , 48.00 
,Revenue Loss ,, -   ,,,," 3,469,440 "," 3,103,200 "," 3,103,200 "," 3,103,200 "," 3,103,200 "," 3,103,200 "," 3,103,200 "," 3,103,200 "," 3,148,980 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
